"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
1730 W Gregory,North Parkway,59.5,Sycamore,18.9,4,75.8
1604 W Farragut,North Parkway,53,Red Maple,16.9,4.5,76
1725 W Farragut,South Parkway,53,Norway Maple,16.9,4.5,76
5356 N Paulina,On Balmoral South Parkway,53,Norway Maple,16.9,4.5,76
5434 N Paulina,On Rascher North Parkway @ Corner,53,Norway Maple,16.9,4.5,76
1640 W Farragut,North Parkway,53.25,Red Maple,17,4.5,76.3
5304 N Paulina,West Parkway,53.25,Norway Maple,17,4.5,76.3
1604 W Berwyn,North Parkway,40,Crabapple,12.7,6,76.4
1730 W Catalpa,North Parkway,80,Honey Locust,25.5,3,76.4
1705 W Farragut,South Parkway,80,Basswood/Linden,25.5,3,76.4
1739 W Summerdale,South Parkway,80,Honey Locust,25.5,3,76.4
1722 W Catalpa,North Parkway,81,Honey Locust,25.8,3,77.4
1751 -1753 W Catalpa,South Parkway Middle Tree,54,Norway Maple,17.2,4.5,77.4
5434 N Paulina,On Rascher North Parkway 1 E Middle,54,Norway Maple,17.2,4.5,77.4
5441 N Paulina,East Parkway,54,Norway Maple,17.2,4.5,77.4
1642 W Rascher,North Parkway,81,Honey Locust,25.8,3,77.4
1739 W Rascher,South Parkway by Side Yard,54,Norway Maple,17.2,4.5,77.4
1700 W Farragut,On Paulina West Parkway-1N White House,81.5,Silver Maple,26,3,77.9
1736 W Gregory,North Parkway,81.5,Honey Locust,26,3,77.9
1654 W Berwyn,North Parkway,54.5,Norway Maple,17.4,4.5,78.1
1738 W Gregory,North Parkway,55,Norway Maple,17.5,4.5,78.8
5406 N Paulina,West Parkway,55,Norway Maple,17.5,4.5,78.8
1751 W Summerdale,South Parkway,55,Norway Maple,17.5,4.5,78.8
1616 W Berwyn,North Parkway,83,Honey Locust,26.4,3,79.3
5235 N Ashland,Andersonville Playlot Park,125,Cottonwood,39.8,2,79.6
5235 N Ashland,Andersonville Playlot Park,125,Cottonwood,39.8,2,79.6
1720 W Berwyn,North Parkway-1W,62.5,Green Ash,19.9,4,79.6
5440 N Paulina,West Parkway,83.5,Honey Locust,26.6,3,79.8
1719 W Balmoral,South Parkway,56,Norway Maple,17.8,4.5,80.3
1722 W Farragut,North Parkway,84,Silver Maple,26.8,3,80.3
5323 N Paulina,On Summerdale South Parkway @ Corner,56,Norway Maple,17.8,4.5,80.3
5554 N Paulina,On Bryn Mawr South Parkway Middle Tree,63,Green Ash,20.1,4,80.3
1615 W Rascher,South Parkway,56,Norway Maple,17.8,4.5,80.3
5520 N Paulina,West Parkway Near Corner-Hartwell Place,56.5,Norway Maple,18,4.5,81
1700 W Farragut,On Paulina West Parkway-1 S White House,85,Silver Maple,27.1,3,81.2
WA Garden N Ravenswood near Berwyn,"41°58'41.2""N 87°40'28.3""W",128,Cottonwood,40.8,2,81.5
5439 N Paulina,East Parkway,57,Norway Maple,18.2,4.5,81.7
1615 W Rascher,South Parkway,57,Norway Maple,18.2,4.5,81.7
1732 W Rascher,North Parkway,86,Honey Locust,27.4,3,82.2
1714 W Berwyn,North Parkway,65,Green Ash,20.7,4,82.8
1751 -1753 W Catalpa,South Parkway @ SW Corner of Ravenswood,65,American Elm,20.7,4,82.8
5521 N Paulina,East Parkway,58,Norway Maple,18.5,4.5,83.1
1700-1702 W Summerdale,North Parkway East of Alley,52.5,Ash,16.7,5,83.6
1716 W Berwyn,North Parkway,66,Green Ash,21,4,84.1
1731 W Berwyn,South Parkway,66,Green Ash,21,4,84.1
1602-1604 W Summerdale,North Parkway,89,Silver Maple,28.3,3,85
1654 W Berwyn,North Parkway,59.5,Norway Maple,18.9,4.5,85.3
5542 N Ashland,West Parkway,90,Silver Maple,28.7,3,86
1731 W Balmoral,South Parkway,90,Honey Locust,28.7,3,86
5352 N Ashland,West Parkway,54.5,White Ash,17.4,5,86.8
1718 W Balmoral,North Parkway,61,Norway Maple,19.4,4.5,87.4
1734 W Balmoral,North Parkway,61,Norway Maple,19.4,4.5,87.4
1719 W Bryn Mawr,South Parkway,91.5,Silver Maple,29.1,3,87.4
1636 W Rascher,North Parkway,61,Red Maple,19.4,4.5,87.4
1641 W Berwyn,South Parkway,55,White Ash,17.5,5,87.6
1622 W Berwyn,North Parkway,92,Honey Locust,29.3,3,87.9
1737 W Balmoral,South Parkway,61.5,Norway Maple,19.6,4.5,88.1
1738 W Balmoral,North Parkway,61.5,Norway Maple,19.6,4.5,88.1
5338 N Paulina,West Parkway,92.5,Honey Locust,29.5,3,88.4
1735 W Berwyn,South Parkway,62,Norway Maple,19.7,4.5,88.9
1701 W Farragut,On Paulina West Parkway Blue House,62,Norway Maple,19.7,4.5,88.9
5418 N Paulina,West Parkway,62,Norway Maple,19.7,4.5,88.9
5540 N Paulina,West Parkway,62,Norway Maple,19.7,4.5,88.9
1715 W Balmoral,South Parkway,70,Sycamore,22.3,4,89.2
1751 W Summerdale,On Ravenswood South Parkway @ Corner,80,Locust,25.5,3.5,89.2
5324 N Ashland,West Parkway,56.5,White Ash,18,5,90
1739 W Catalpa,South Parkway,94.5,Silver Maple,30.1,3,90.3
1727 W Berwyn,South Parkway,71.5,Green Ash,22.8,4,91.1
1714 W Balmoral,North Parkway,64,Norway Maple,20.4,4.5,91.7
1615 W Rascher,South Parkway,64,Norway Maple,20.4,4.5,91.7
1641 W Summerdale,South Parkway,64,Red Maple,20.4,4.5,91.7
1732 W Farragut,North Parkway,64.5,Maple,20.5,4.5,92.4
5208 N Paulina,West Parkway,64.5,Norway Maple,20.5,4.5,92.4
1714 W Farragut,North Parkway,97,Silver Maple,30.9,3,92.7
1626 W Rascher,North Parkway,97,Honey Locust,30.9,3,92.7
1616 W Rascher,North Parkway,65,Norway Maple,20.7,4.5,93.2
5353 N Ravenswood,East Parkway,147,Cottonwood,46.8,2,93.6
1732 W Gregory,North Parkway,65.5,Norway Maple,20.9,4.5,93.9
5554 N Paulina,On Bryn Mawr South Parkway-1E,74,Green Ash,23.6,4,94.3
1721 W Balmoral,South Parkway,66,Norway Maple,21,4.5,94.6
1615 W Rascher,South Parkway,66,Red Maple,21,4.5,94.6
1643 W Rascher,South Parkway,66,Red Maple,21,4.5,94.6
5315 N Ravenswood,East Parkway-1N,60,White Ash,19.1,5,95.5
1720 W Catalpa,North Parkway,67,Norway Maple,21.3,4.5,96
5511 N Paulina,East Parkway,67.5,Norway Maple,21.5,4.5,96.7
1714 W Rascher,North Parkway @ Alley Corner,67.5,Norway Maple,21.5,4.5,96.7
1604 W Farragut,North Parkway,61,White Ash,19.4,5,97.1
1723 W Gregory,South Parkway,61,Burr Oak,19.4,5,97.1
5501 N Ravenswood Unit 108,On Berwyn North Parkway,76.5,Green Ash,24.4,4,97.5
1614 W Summerdale,North Parkway,153,Cottonwood,48.7,2,97.5
1620 W Summerdale,North Parkway,68,Red Maple,21.7,4.5,97.5
1720 W Berwyn,North Parkway-1E,77,Green Ash,24.5,4,98.1
1628 W Summerdale,North Parkway,68.5,Red Maple,21.8,4.5,98.2
5346 N Paulina,West Parkway,69,Norway Maple,22,4.5,98.9
1705 W Rascher,South Parkway,69,Norway Maple,22,4.5,98.9
1733 W Berwyn,South Parkway,78,Green Ash,24.8,4,99.4
1732 W Foster,North Parkway,78.5,Elm,25,4,100
1638 W Berwyn,North Parkway,105,Silver Maple,33.4,3,100.3
5235 N Ravenswood,On Berwyn South Parkway,106,Silver Maple,33.8,3,101.3
5434 N Ashland,On Rascher North Parkway @ Corner,71,Norway Maple,22.6,4.5,101.8
1729 W Gregory,South Parkway,106.5,Honey Locust,33.9,3,101.8
1738 W Berwyn,North Parkway,80,Green Ash,25.5,4,101.9
1723 W Balmoral,South Parkway,64.5,White Ash,20.5,5,102.7
1721 W Bryn Mawr,South Parkway,107.5,Silver Maple,34.2,3,102.7
1700-1702 W Summerdale,North Parkway Middle Tree,64.5,Ash,20.5,5,102.7
1748 W Farragut,North Parkway-By Parking Lot,81,American Elm,25.8,4,103.2
5352 N Paulina,West Parkway,81,Sycamore,25.8,4,103.2
1700-1702 W Summerdale,North Parkway,108,Silver Maple,34.4,3,103.2
5457 N Paulina,East Parkway,72.5,Norway Maple,23.1,4.5,103.9
5523 N Ravenswood,On Gregory South Parkway 3 E,73,Norway Maple,23.2,4.5,104.6
5422 N Paulina,West Parkway,73.5,Norway Maple,23.4,4.5,105.3
1715 W Farragut,South Parkway,74,Norway Maple,23.6,4.5,106.1
1701-1703 W Summerdale,South Parkway,111.5,Silver Maple,35.5,3,106.5
1703 W Summerdale,South Parkway,111.5,Silver Maple,35.5,3,106.5
1714 W Summerdale,North Parkway,67,Ash,21.3,5,106.7
1725 W Summerdale,South Parkway,67,Ash,21.3,5,106.7
1715 W Berwyn,South Parkway,75,Norway Maple,23.9,4.5,107.5
1654 W Farragut,North Parkway,113,Silver Maple,36,3,108
5532 N Paulina,On Gregory North Parkway,49,Redbud,15.6,7,109.2
1615 W Rascher,South Parkway,77,Norway Maple,24.5,4.5,110.4
5348 N Ashland,West Parkway,69.5,White Ash,22.1,5,110.7
5352 N Paulina,West Parkway,116,Silver Maple,36.9,3,110.8
5554 N Paulina,On Bryn Mawr South Parkway-1W,87,Green Ash,27.7,4,110.8
1629 W Summerdale,South Parkway,117,Silver Maple,37.3,3,111.8
1711 W Berwyn,South Parkway,118,Silver Maple,37.6,3,112.7
1632 W Summerdale,North Parkway,118,Silver Maple,37.6,3,112.7
5353 N Ashland,East Parkway,72,Ash,22.9,5,114.6
1617 W Berwyn,South Parkway,72,White Ash,22.9,5,114.6
5310 N Ashland,West Parkway,73,White Ash,23.2,5,116.2
1625 W Berwyn,South Parkway,73,White Ash,23.2,5,116.2
1734 W Foster,North Parkway,91.5,Elm,29.1,4,116.6
1620 W Summerdale,North Parkway,82,Red Maple,26.1,4.5,117.5
1710 W Farragut,North Parkway,126,Sliver Maple,40.1,3,120.4
1631 W Summerdale,South Parkway,127,Silver Maple,40.4,3,121.3
1645 W Berwyn,South Parkway,76.5,White Ash,24.4,5,121.8
IN V ALID,"41°58'44.7""N 87°40'28.3""W",192,Cottonwood,61.1,2,122.3
1732 W Berwyn,North Parkway,99,Green Ash,31.5,4,126.1
5324 N Ashland,On Summerdale South Parkway Near Corner,79.5,White Ash,25.3,5,126.6
1651 W Foster,Lutheran Church Side Yard Behind Fence,173,Mulberry,55.1,2.3,126.7
1737 W Farragut,South Parkway,82,Ash,26.1,5,130.6
5521 N Ravenswood,East Parkway; 5 trunks;Total Circ Used,148,Silver Maple,47.1,3,141.4
1720 W Summerdale,North Parkway,89,Ash,28.3,5,141.7
1735 W Farragut,South Parkway,92,Ash,29.3,5,146.5
1616 W Farragut,North Parkway,117,Sycamore,37.3,4,149
1616 W Farragut,North Parkway,120,Sycamore,38.2,4,152.9
1638 W Summerdale,North Parkway,96,White Ash,30.6,5,152.9
5345 N Ravenswood,East Parkway,164,Silver Maple,52.2,3,156.7
1701 W Farragut,South Parkway,133,Elm,42.4,4,169.4
1734 W Rascher,North Parkway,112.5,White Ash,35.8,5,179.1
1724 W Rascher,North Parkway,123,White Ash,39.2,5,195.9
